3166-1-alpha-2,3166-1-alpha-3,worldpop_population_map,key
HT,HTI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/HTI/hti_ppp_2020.tif,HT
HM,HMD,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/HMD/hmd_ppp_2020.tif,HM
VA,VAT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/VAT/vat_ppp_2020.tif,VA
HN,HND,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/HND/hnd_ppp_2020.tif,HN
HK,HKG,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/HKG/hkg_ppp_2020.tif,HK
HU,HUN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/HUN/hun_ppp_2020.tif,HU
IS,ISL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ISL/isl_ppp_2020.tif,IS
IN,IND,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/IND/ind_ppp_2020.tif,IN
ID,IDN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/IDN/idn_ppp_2020.tif,ID
IR,IRN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/IRN/irn_ppp_2020.tif,IR
IQ,IRQ,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/IRQ/irq_ppp_2020.tif,IQ
IE,IRL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/IRL/irl_ppp_2020.tif,IE
IM,IMN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/IMN/imn_ppp_2020.tif,IM
IL,ISR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ISR/isr_ppp_2020.tif,IL
IT,ITA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ITA/ita_ppp_2020.tif,IT
JM,JAM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/JAM/jam_ppp_2020.tif,JM
JP,JPN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/JPN/jpn_ppp_2020.tif,JP
JE,JEY,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/JEY/jey_ppp_2020.tif,JE
JO,JOR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/JOR/jor_ppp_2020.tif,JO
KZ,KAZ,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/KAZ/kaz_ppp_2020.tif,KZ
KE,KEN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/KEN/ken_ppp_2020.tif,KE
KI,KIR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/KIR/kir_ppp_2020.tif,KI
KP,PRK,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/PRK/prk_ppp_2020.tif,KP
KR,KOR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/KOR/kor_ppp_2020.tif,KR
KW,KWT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/KWT/kwt_ppp_2020.tif,KW
KG,KGZ,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/KGZ/kgz_ppp_2020.tif,KG
LA,LAO,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LAO/lao_ppp_2020.tif,LA
LV,LVA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LVA/lva_ppp_2020.tif,LV
LB,LBN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LBN/lbn_ppp_2020.tif,LB
LS,LSO,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LSO/lso_ppp_2020.tif,LS
LR,LBR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LBR/lbr_ppp_2020.tif,LR
LY,LBY,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LBY/lby_ppp_2020.tif,LY
LI,LIE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LIE/lie_ppp_2020.tif,LI
LT,LTU,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LTU/ltu_ppp_2020.tif,LT
LU,LUX,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LUX/lux_ppp_2020.tif,LU
MO,MAC,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MAC/mac_ppp_2020.tif,MO
MG,MDG,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MDG/mdg_ppp_2020.tif,MG
MW,MWI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MWI/mwi_ppp_2020.tif,MW
MY,MYS,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MYS/mys_ppp_2020.tif,MY
MV,MDV,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MDV/mdv_ppp_2020.tif,MV
ML,MLI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MLI/mli_ppp_2020.tif,ML
MT,MLT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MLT/mlt_ppp_2020.tif,MT
MH,MHL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MHL/mhl_ppp_2020.tif,MH
MQ,MTQ,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MTQ/mtq_ppp_2020.tif,MQ
MR,MRT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MRT/mrt_ppp_2020.tif,MR
MU,MUS,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MUS/mus_ppp_2020.tif,MU
YT,MYT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MYT/myt_ppp_2020.tif,YT
MX,MEX,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MEX/mex_ppp_2020.tif,MX
FM,FSM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/FSM/fsm_ppp_2020.tif,FM
MD,MDA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MDA/mda_ppp_2020.tif,MD
MC,MCO,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MCO/mco_ppp_2020.tif,MC
MN,MNG,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MNG/mng_ppp_2020.tif,MN
ME,MNE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MNE/mne_ppp_2020.tif,ME
MS,MSR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MSR/msr_ppp_2020.tif,MS
MA,MAR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MAR/mar_ppp_2020.tif,MA
MZ,MOZ,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MOZ/moz_ppp_2020.tif,MZ
MM,MMR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/MMR/mmr_ppp_2020.tif,MM
"NA",NAM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NAM/nam_ppp_2020.tif,NA
NR,NRU,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NRU/nru_ppp_2020.tif,NR
NP,NPL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NPL/npl_ppp_2020.tif,NP
NL,NLD,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NLD/nld_ppp_2020.tif,NL
NC,NCL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/NCL/ncl_ppp_2020.tif,NC
